"user_location_us","top_words_with_freq"
"Alabama","nike(2), album…(1), btsworldtour(1), cancer(1), childhood(1)"
"Alaska","americans(1), beheretomorrow(1), corybooker(1), crazy(1), dreams(1)"
"Arizona","nike(11), burning(5), crazy(5), dreams(4), ask(2)"
"Arkansas","will(2), gone(1), impeach(1), long(1), pay(1)"
"California","nike(44), kaepernick(13), crazy(7), ad(6), shoes(6)"
"Colorado","nike(4), drive(2), kaepernick(2), saw(2), time(2)"
"Connecticut","patriots(2), feeling(1), football(1), fouls(1), goo(1)"
"Delaware","ask(4), crazy(4), boxe(2), dreams(2), enough(2)"
"Florida","nike(22), gt(8), kaepernick(8), nfl(5), maga(4)"
"Georgia","nike(16), kaepernick(5), flag(3), burn(2), cathyareu(2)"
"Hawaii","nike(6), dare(3), crazy(2), people(2), still(2)"
"Idaho","work(2), asses(1), boots(1), go(1), grab(1)"
"Illinois","nike(6), blah(3), nfl(3), realdonaldtrump(3), boycott(2)"
"Indiana","man(5), nike(5), realdonaldtrump(5), kaepernick(3), butt(2)"
"Iowa","control(1), dying(1), httpstcoqyrvzejus(1), looking(1), memes(1)"
"Kansas","nike(7), crazy(3), realdonaldtrump(3), ask(2), make(2)"
"Kentucky","nike(5), believe(3), go(3), believeinsomething(2), knee(2)"
"Likely not a US state","nike(361), crazy(167), ask(115), kaepernick(109), realdonaldtrump(90)"
"Louisiana","nike(10), kaepernick(3), destroy(2), face(2), fatigue(2)"
"Maine","nike(3), athlete(2), one(2), will(2), accident(1)"
"Maryland","nike(11), crazy(3), boycotting(2), business(2), colinkaepernick(2)"
"Massachusetts","nike(4), kaepernick(3), c(2), feed(2), learned(2)"
"Michigan","nike(19), kaepernick(9), realdonaldtrump(6), now(4), state(4)"
"Minnesota","maybe(3), nike(3), items(2), think(2), ✔️🖵✊🆵(1)"
"Mississippi","nike(2), bigotry(1), cofohardworku(1), colinkaepernick(1), continue(1)"
"Missouri","nike(3), work(2), 🕩🕩🕩(2), °(1), asses(1)"
"Nebraska","nike(4), crazy(2), everything(2), kaepernick(2), start(2)"
"Nevada","nike(4), saintsaddiction(3), addicted(2), always(2), anthem(2)"
"New Hampshire","among(1), captures(1), coreybooker(1), force(1), hearing(1)"
"New Jersey","nike(6), kaepernick(4), ask(2), buy(2), crazy(2)"
"New Mexico","adults(2), laphatboy(2), made(2), now(2), page(2)"
"New York","nike(20), kaepernick(12), thinking(6), realdonaldtrump(5), america(4)"
"North Carolina","nike(7), crazy(3), face(3), ask(2), dreams(2)"
"Ohio","nike(11), crazy(5), kaepernick(5), ask(4), take(3)"
"Oklahoma","another(2), “(1), addressed(1), allergic(1), association(1)"
"Oregon","nike(4), chills(2), kaepernick(2), red(2), thorns(2)"
"Pennsylvania","ask(14), crazy(14), nike(9), dreams(7), kaepernick(7)"
"Rhode Island","commercial(2), crazy(1), fuckoppression(1), httpstcouvrwftaa(1), httpstcoxxxnoupd(1)"
"South Carolina","nike(3), takeaknee(3), anthem(2), commercial(2), crazy(2)"
"Tennessee","nike(4), crazy(3), ask(2), become(2), enough(2)"
"Texas","nike(15), crazy(8), walkaway(7), ask(5), kaepernick(5)"
"Utah","nike(4), lies(2), put(2), sis(2), aclu(1)"
"Virginia","nike(8), start(3), message(2), problem(2), wrong(2)"
"Washington","nike(7), fuck(3), gop(3), realdonaldtrump(3), ask(2)"
"Washington DC","kaepernick(4), nike(4), ask(2), crazy(2), dreams(2)"
"West Virginia","anyone(1), away(1), burning(1), shoes(1), size(1)"
"Wisconsin","commercial(2), hate(2), kaepernick(2), nike(2), abortion(1)"
